Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Two Brewers Innovative (all releases),8.6,0.32,7,$$$$,SingleMalt-like,EF,E,Canada,Malt
Aberlour A'Bunadh Alba (Batch 1),8.59,0.54,4,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Bruichladdich The Organic (all editions),8.59,0.29,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Scotia Victoriana,8.59,0.4,13,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Cipher,8.59,0.34,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 09,8.59,0.21,4,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Paul John Classic Select Cask,8.59,0.38,7,$$$$,SingleMalt-like,EF,E,India,Malt
Compass Box Oak Cross,8.58,0.37,18,$$$,SingleMalt-like,EF,F,Scotland,Malt
Old Pulteney 18yo,8.57,0.49,7,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 18yo,8.56,0.37,28,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 18yo,8.56,0.24,28,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach 12yo,8.55,0.55,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Sullivans Cove Bourbon Cask Strength,8.55,0.72,7,$$$$,SingleMalt-like,EF,F,Tasmania,Malt
Two Brewers Release 08 Innovative,8.55,0.6,6,$$$$,SingleMalt-like,EF,E,Canada,Malt
Sullivans Cove American Oak,8.54,0.39,7,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Balvenie 14yo Carribean Cask,8.53,0.34,26,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glengoyne 17yo,8.53,0.36,17,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Midleton Very Rare 2015,8.53,0.37,6,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Tyrconnell 10yo Madeira Cask Finish,8.53,0.37,12,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Arran Malt Sauternes Finish,8.52,0.29,17,$$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka Pure Malt Red,8.52,0.32,10,$$$,SingleMalt-like,EF,E,Japan,Malt
Singleton of Glendullan 15yo,8.52,0.29,6,$$$,SingleMalt-like,EF,E,Scotland,Malt
Westland American Single Malt (American Oak),8.52,0.34,20,$$$$,SingleMalt-like,EF,E,USA,Malt
Glen Grant 18yo,8.51,0.57,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 14yo Rich Oak,8.51,0.31,14,$$$,SingleMalt-like,EF,E,Scotland,Malt
Green Spot,8.51,0.35,24,$$$$,SingleMalt-like,EF,F,Ireland,Malt
High Coast (Box) The Messenger,8.51,0.43,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Mackmyra Special 08,8.51,0.33,5,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Auchentoshan Bartender's Malt,8.5,0.46,13,$$,SingleMalt-like,EF,E,Scotland,Malt
Benromach Organic,8.5,0.39,19,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Deanston 18yo (Bourbon Finish),8.5,0.35,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 16yo,8.5,0.29,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Copperworks American Single Malt,8.49,0.26,6,$$$,SingleMalt-like,EF,E,USA,Malt
Glen Grant 16yo,8.49,0.34,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Teerenpeli Distiller’s Choice RASI,8.49,0.44,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Yamazaki Distiller's Reserve,8.49,0.27,10,$$$$,SingleMalt-like,EF,E,Japan,Malt
Kininvie 23yo (all batches),8.48,0.4,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Jord,8.48,0.74,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Mackmyra Special 05,8.48,0.4,7,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Bruichladdich The Organic 2003,8.47,0.27,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan 21yo Fine Oak,8.46,0.37,7,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Källa,8.46,0.29,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Paul John Brilliance,8.46,0.35,14,$$$,SingleMalt-like,EF,E,India,Malt
Singleton of Glendullan 18yo,8.46,0.32,3,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 1989,8.45,0.56,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Macallan 15yo Fine Oak,8.45,0.48,15,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord 15yo,8.45,0.46,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Solsken,8.43,0.55,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Bunnahabhain Stiuireadair,8.42,0.37,10,$$$,SingleMalt-like,EF,F,Scotland,Malt
Macallan 12yo Double Cask,8.42,0.34,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach Rare Old,8.42,0.37,18,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Elgin 12yo,8.41,0.22,17,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullamore Dew 14yo Single Malt,8.41,0.23,3,$$$,SingleMalt-like,EF,E,Ireland,Malt
Balblair 16yo,8.4,0.41,4,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bushmills 12yo Single Malt,8.4,0.18,3,$$$$$,SingleMalt-like,EF,E,Ireland,Malt
GlenDronach 8yo The Hielan,8.4,0.31,17,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich IPA Cask Finish Experimental Series No. 1,8.4,0.39,21,$$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka Taketsuru 12yo,8.4,0.39,20,$$$$,SingleMalt-like,EF,E,Japan,Malt
Teerenpeli 8yo,8.4,0.4,7,$$$$$,SingleMalt-like,EF,E,Finland,Malt
Tullibardine 25yo,8.4,0.39,7,$$$$$+,SingleMalt-like,EF,E,Ireland,Malt
Auchentoshan 18yo,8.39,0.38,17,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bunnahabhain Darach Ur,8.39,0.32,10,$$$,SingleMalt-like,EF,F,Scotland,Malt
Bunnahabhain Eirigh Na Greine,8.39,0.41,13,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenlivet Captain's Reserve,8.39,0.2,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Malström (Maelstrom),8.39,0.8,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Nikka All Malt,8.39,0.22,9,$$,SingleMalt-like,EF,E,Japan,Malt
Craigellachie 14yo,8.38,0.28,6,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Knappogue Castle 14yo Twin Wood,8.38,0.4,7,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Glenlivet 15yo French Oak,8.37,0.27,22,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Mackmyra Special 10,8.37,0.5,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Okanagan Spirits Laird of Fintry (all editions),8.36,0.66,10,$$$,SingleMalt-like,EF,E,Canada,Malt
Tomatin 15yo,8.36,0.42,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Dalmore 12yo,8.34,0.31,26,$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 12yo,8.34,0.46,31,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 18yo,8.34,0.13,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 12yo Horizons,8.33,0.38,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage 1998 (2014),8.33,0.59,12,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenfiddich 14yo Bourbon Barrel Reserve,8.32,0.29,16,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage Reserve (NAS),8.32,0.35,8,$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney Navigator,8.32,0.36,16,$$$,SingleMalt-like,EF,E,Scotland,Malt
Scapa 16yo,8.31,0.3,17,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Cragganmore 12yo,8.3,0.3,22,$$$,SingleMalt-like,EF,E,Scotland,Malt
Gouden Carolus Single Malt,8.3,0.33,5,$$$$,SingleMalt-like,EF,E,Belgium,Malt
Auchentoshan 12yo,8.29,0.27,26,$$$,SingleMalt-like,EF,E,Scotland,Malt
Monkey Shoulder,8.29,0.37,23,$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 15yo,8.29,0.21,8,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord 12yo,8.29,0.31,7,$$,SingleMalt-like,EF,E,Scotland,Malt
Sullivans Cove Double Cask,8.29,0.5,14,$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Tullibardine 225 Sauternes Finish,8.29,0.37,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Nantou (Omar) Yushan Bourbon Cask,8.28,0.38,9,$$$$,SingleMalt-like,EF,E,Taiwan,Malt
Teaninich 10yo (F&F),8.28,0.18,4,,SingleMalt-like,EF,F,Scotland,Malt
Teeling Small Batch (Rum Cask Finish),8.28,0.37,26,$$,SingleMalt-like,EF,E,Ireland,Blend
Wemyss Malts Smooth Gentleman,8.28,0.12,3,$$$,SingleMalt-like,EF,E,Scotland,Malt
Deveron 12yo,8.27,0.31,7,$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan 10yo Fine Oak,8.27,0.34,21,$$$,SingleMalt-like,EF,E,Scotland,Malt
Deanston 12yo,8.26,0.42,24,$$$,SingleMalt-like,EF,F,Scotland,Malt
Deveron 18yo,8.25,0.65,8,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 12yo,8.25,0.47,13,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Edradour 10yo,8.24,0.68,18,$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan Amber,8.24,0.44,15,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tobermory 10yo,8.22,0.39,27,$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenrothes Elders' Reserve,8.21,0.72,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Scallywag,8.21,0.54,16,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Stalk & Barrel Single Malt (All Casks),8.21,0.44,14,$$$,SingleMalt-like,EF,F,Canada,Malt
Strathisla 12yo,8.21,0.28,15,$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Sherry Classic,8.19,0.94,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glencadam Origin 1825 (NAS),8.19,0.14,7,$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Jakt,8.19,0.56,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Glen Breton 21yo,8.18,0.37,3,$$$$$,SingleMalt-like,EF,E,Canada,Malt
Glenrothes 12yo,8.17,0.87,7,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tomintoul 12yo Oloroso Sherry,8.17,0.58,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchroisk 10yo (F&F),8.16,0.09,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Select Cask,8.16,0.38,11,$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Robert Burns Single Malt,8.15,0.6,11,$$,SingleMalt-like,EF,F,Scotland,Malt
The Irishman Single Malt (NAS),8.15,0.4,8,$$$,SingleMalt-like,EF,E,Ireland,Malt
Tullibardine 1993 Sauternes,8.14,0.36,5,$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberfeldy 12yo,8.13,0.33,24,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Manse Reserve,8.12,0.93,3,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage 2001 (all bottlings),8.12,0.59,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 15yo Sauternes Finish,8.09,0.54,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glen Moray 10yo Chardonnay Cask,8.09,0.56,14,$$,SingleMalt-like,EF,F,Scotland,Malt
Glenburgie 10yo (Gordon & MacPhail),8.09,0.41,8,$$$,SingleMalt-like,EF,F,Scotland,Malt
Ohishi Brandy Cask,8.09,0.35,4,$$$$,SingleMalt-like,EF,E,Japan,Malt
Glen Garioch Virgin Oak,8.08,0.46,8,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 12yo,8.07,0.34,26,$$$,SingleMalt-like,EF,E,Scotland,Malt
Lohin McKinnon Choclolate Malt,8.06,0.48,3,$$$,SingleMalt-like,EF,E,Canada,Malt
Two Brewers Release 05 Innovative,8.06,0.77,6,$$$$,SingleMalt-like,EF,E,Canada,Malt
Tomatin 12yo,8.05,0.47,23,$$,SingleMalt-like,EF,E,Scotland,Malt
Miltonduff 10yo (F&F),8.04,0.44,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 228 Burgundy Finish,8.04,0.32,6,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown Unité,8.03,0.33,4,$$,SingleMalt-like,EF,E,Scotland,Malt
Tullamore Dew 10yo Single Malt,8.01,0.83,6,$$$,SingleMalt-like,EF,E,Ireland,Malt
Dalmore Valour,8,0.38,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glendullan 12yo,8,0.42,15,$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Deveron 10yo (Macduff),7.95,0.38,5,$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Founder's Reserve,7.94,0.35,20,$$,SingleMalt-like,EF,E,Scotland,Malt
Millstone 8yo French Oak,7.94,0.57,4,$$$$,SingleMalt-like,EF,E,Netherlands,Malt
Santis Edition Sigel,7.9,0.75,8,$$$,SingleMalt-like,EF,E,Switzerland,Malt
Scapa Skiren,7.89,0.61,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 12yo,7.89,0.47,12,$$,SingleMalt-like,EF,E,Scotland,Malt
Game of Thrones House Tully Singleton Glendullan Select,7.88,0.42,6,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Moray 12yo Chenin Blanc,7.82,0.83,6,$$,SingleMalt-like,EF,F,Scotland,Malt
Penderyn Legend,7.81,0.77,10,$$$,SingleMalt-like,EF,F,Wales,Malt
Glenrothes Select Reserve,7.79,0.33,15,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord Signature,7.79,0.38,3,$$$,SingleMalt-like,EF,E,Scotland,Malt
Penderyn Aur Cymru,7.72,0.64,9,$$$$,SingleMalt-like,EF,E,Wales,Malt
Speyside 10yo,7.71,0.64,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Mars Iwai Tradition,7.6,0.85,8,$$$$,SingleMalt-like,EF,E,Japan,Blend
Mackmyra Special 01,7.55,0.44,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Glen Moray 16yo Chenin Blanc,7.53,0.66,4,$$$,SingleMalt-like,EF,F,Scotland,Malt
Santis Edition Säntis,7.49,0.86,7,$$$$,SingleMalt-like,EF,F,Switzerland,Malt
McClelland's Speyside Single Malt,6.96,0.82,7,$$,SingleMalt-like,EF,F,Scotland,Malt
Kavalan Solist Moscatel Cask,9.11,0.31,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Midleton Barry Crockett Legacy,9.1,0.23,16,$$$$$,SingleMalt-like,GH,G,Ireland,Blend
Kavalan Solist Rum Cask,9.08,0.36,3,$$$$$+,SingleMalt-like,GH,G,Taiwan,Malt
Glen Scotia 25yo,9.06,0.07,3,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Yamazaki Limited Edition 2015,8.99,0.11,3,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Highland Park 17yo The Light,8.98,0.27,7,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Aultmore 21yo,8.93,0.4,3,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Twenty Two 22yo,8.91,0.26,12,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Iskristall,8.91,0.27,3,$$$$$,SingleMalt-like,GH,G,Sweden,Malt
High Coast (Box) The 2nd Step Collection 03,8.88,0.35,4,$$$$$,SingleMalt-like,GH,G,Sweden,Malt
Mackinlay's Shackleton Rare Old Highland Malt Discovery edition,8.88,0.41,16,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Teeling Silver Reserve 21yo Sauternes Finish,8.88,0.36,10,$$$$$,SingleMalt-like,GH,H,Ireland,Malt
Old Pulteney 21yo,8.87,0.31,22,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Compass Box Double Single,8.86,0.29,9,$$$$$,SingleMalt-like,GH,G,Scotland,Blend
Ichiro's Malt Chichibu On The Way,8.86,0.35,7,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Mackmyra Vinterdrom,8.86,0.05,3,$$$$$,SingleMalt-like,GH,G,Sweden,Malt
Bruichladdich Laddie Ten 10yo (Second Edition),8.85,0.24,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
Compass Box Double Single (all editions),8.85,0.26,11,$$$$$,SingleMalt-like,GH,G,Scotland,Blend
Glencadam 21yo,8.83,0.28,12,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Kilkerran 12yo,8.83,0.23,23,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Kavalan Distillery Reserve Rum Cask,8.82,0.27,3,$$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Benromach 5yo,8.81,0.2,4,$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Ten 10yo,8.81,0.26,22,$$$,SingleMalt-like,GH,G,Scotland,Malt
High Coast (Box) Quercus IV Mongolica,8.81,0.58,3,$$$$,SingleMalt-like,GH,G,Sweden,Malt
Glen Breton Ice 17yo,8.8,0.1,4,$$$$$,SingleMalt-like,GH,G,Canada,Malt
Arran Malt Orkney Bere Barley,8.79,0.34,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackinlay's Shackleton Rare Old Highland Malt (both limited editions),8.79,0.35,19,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Matsui Mizunara Cask,8.79,0.23,5,$$$$,SingleMalt-like,GH,G,Japan,Malt
Two Brewers Release 10 Cask Strength,8.79,0.25,7,$$$$,SingleMalt-like,GH,G,Canada,Malt
Amrut Cask Strength,8.78,0.42,14,$$$$,SingleMalt-like,GH,G,India,Malt
Macallan 17yo Fine Oak,8.78,0.52,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Yamazaki Bourbon Barrel,8.78,0.26,9,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Two Brewers Cask Strength (all releases),8.77,0.26,6,$$$$,SingleMalt-like,GH,G,Canada,Malt
Two Brewers Release 06 Classic,8.77,0.36,6,$$$$,SingleMalt-like,GH,G,Canada,Malt
Balvenie 15yo Single Barrel (Cask),8.76,0.36,29,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Sixteen 16yo,8.76,0.22,14,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 30yo,8.76,0.26,3,$$$$$+,SingleMalt-like,GH,H,Scotland,Malt
Glenmorangie Spios Private Edition No 9,8.76,0.24,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenmorangie Tusail,8.76,0.32,16,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Kilkerran Work in Progress Bourbon Wood,8.76,0.42,15,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Compass Box Enlightenment,8.75,0.18,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bladnoch 19yo (Cow label),8.74,0.22,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
AnCnoc 16yo,8.73,0.33,17,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Hakushu 10yo,8.72,0.26,4,$$$,SingleMalt-like,GH,H,Japan,Malt
Hakushu 12yo,8.72,0.24,24,$$$$,SingleMalt-like,GH,H,Japan,Malt
Aultmore 18yo,8.7,0.31,10,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Compass Box Rivals,8.7,0.19,5,$$$$$,SingleMalt-like,GH,G,Scotland,Blend
Glenfiddich 26yo Excellence,8.7,0.47,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Ten Years 10yo,8.7,0.14,8,$$$$$,SingleMalt-like,GH,H,Sweden,Malt
Arran Malt 14yo,8.68,0.24,26,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Stronachie 18yo,8.67,0.3,8,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Yamazaki 12yo,8.67,0.29,30,$$$$,SingleMalt-like,GH,G,Japan,Malt
Longrow 10yo,8.66,0.44,16,$$$$,SingleMalt-like,GH,G,Scotland,Malt
BenRiach Cask Strength,8.65,0.41,11,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Caol Ila 15yo Unpeated 2018,8.65,0.45,17,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Kavalan Podium,8.65,0.27,11,$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Linkwood 12yo (F&F),8.65,0.31,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Mackmyra The First Edition (Den Första Utgåvan),8.65,0.35,18,$$$,SingleMalt-like,GH,H,Sweden,Malt
Two Brewers Release 13 Classic,8.65,0.73,4,$$$$,SingleMalt-like,GH,G,Canada,Malt
Arran Malt 12yo Cask Strength (all editions),8.64,0.37,19,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Hibiki 12yo,8.63,0.25,24,$$$$,SingleMalt-like,GH,G,Japan,Blend
Glenmorangie The Tarlogan,8.62,0.33,6,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Mackinlay's Shackleton Rare Old Highland Malt Journey edition,8.6,0.25,11,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Two Brewers Classic (all releases),8.59,0.4,9,$$$$,SingleMalt-like,GH,G,Canada,Malt
Westland Garryana,8.59,0.36,12,$$$$$,SingleMalt-like,GH,G,USA,Malt
Kilkerran Work in Progress,8.58,0.36,15,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Preludium 03,8.58,0.88,5,$$$$$,SingleMalt-like,GH,H,Sweden,Malt
Tullibardine 20yo,8.58,0.31,5,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Classic Laddie Scottish Barley,8.56,0.33,22,$$$,SingleMalt-like,GH,G,Scotland,Malt
Mars Maltage Cosmo,8.56,0.23,5,$$$$,SingleMalt-like,GH,G,Japan,Malt
Two Brewers Release 16 Classic,8.56,0.55,6,$$$$,SingleMalt-like,GH,G,Canada,Malt
Yamazaki Puncheon,8.56,0.35,11,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Arran Malt 10yo,8.55,0.27,27,$$$,SingleMalt-like,GH,G,Scotland,Malt
Spirit of Hven Urania,8.55,0.5,3,$$$$$+,SingleMalt-like,GH,H,Sweden,Malt
BenRiach 10yo,8.54,0.15,12,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 15yo,8.54,0.34,16,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Two Brewers Release 20 Innovative,8.54,0.53,5,$$$$,SingleMalt-like,GH,G,Canada,Malt
Balblair 10yo,8.53,0.25,3,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bladnoch 10yo (F&F),8.52,0.67,3,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Two Brewers Release 01 Classic,8.52,0.45,6,$$$$,SingleMalt-like,GH,G,Canada,Malt
Dalwhinnie 15yo,8.51,0.38,27,$$$$,SingleMalt-like,GH,H,Scotland,Malt
GlenDronach 14yo Virgin Oak,8.51,0.37,11,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Ichiro's Malt Chichibu The Floor Malted,8.51,0.46,7,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Nikka Miyagikyo NAS,8.51,0.29,13,$$$$,SingleMalt-like,GH,H,Japan,Malt
AnCnoc 12yo,8.5,0.37,28,$$$,SingleMalt-like,GH,H,Scotland,Malt
Timorous Beastie 10yo,8.5,0.16,3,$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton 15yo Battle of the Glen,8.49,0.28,7,$$$$$,SingleMalt-like,GH,G,Canada,Malt
Tomatin Cu Bocan Virgin Oak Edition,8.49,0.51,3,$$$$,SingleMalt-like,GH,H,Scotland,Malt
AnCnoc Peter Arkle (all releases),8.48,0.3,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glendalough 13yo Single Malt,8.48,0.3,9,$$$$,SingleMalt-like,GH,G,Ireland,Malt
Mackmyra Svensk Ek,8.48,0.43,5,$$$$,SingleMalt-like,GH,H,Sweden,Malt
Old Pulteney Huddart,8.48,0.25,5,$$$,SingleMalt-like,GH,H,Scotland,Malt
Ichiro's Malt Chichibu The First,8.47,0.44,13,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Kavalan King Car Conductor,8.47,0.31,11,$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Balblair 2000,8.46,0.37,13,$$$$,SingleMalt-like,GH,H,Scotland,Malt
High Coast (Box) Quercus III Petraea,8.46,0.49,3,$$$$,SingleMalt-like,GH,G,Sweden,Malt
Glen Scotia 21yo,8.45,0.25,6,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Special 07,8.45,0.56,7,$$$$,SingleMalt-like,GH,H,Sweden,Malt
Yamazaki NAS,8.45,0.23,6,$$$$,SingleMalt-like,GH,G,Japan,Malt
Inchgower 14yo (F&F),8.44,0.61,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Sheep Dip Blended Malt,8.44,0.41,15,$$,SingleMalt-like,GH,H,Scotland,Malt
Benromach Traditional,8.43,0.46,13,$$,SingleMalt-like,GH,G,Scotland,Malt
Game of Thrones House Stark Dalwhinnie Winter’s Frost,8.43,0.36,12,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Glen Garioch Founder's Reserve,8.43,0.39,21,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Grant 10yo (G&M),8.43,0.3,4,$$$,SingleMalt-like,GH,H,Scotland,Malt
Glen Scotia 18yo,8.43,0.58,5,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 10yo,8.43,0.47,15,$$$,SingleMalt-like,GH,H,Scotland,Malt
Macallan 12yo Fine Oak,8.43,0.39,19,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Classic (Edition 01),8.42,0.55,7,$$$,SingleMalt-like,GH,G,Scotland,Malt
Craigellachie 13yo,8.42,0.51,24,$$$,SingleMalt-like,GH,G,Scotland,Malt
FEW Single Malt,8.42,0.55,6,$$$$,SingleMalt-like,GH,G,USA,Malt
Kavalan Single Malt Whisky,8.42,0.44,19,$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Knappogue Castle 12yo,8.41,0.37,16,$$$,SingleMalt-like,GH,G,Ireland,Malt
Talisker Skye,8.41,0.31,14,$$,SingleMalt-like,GH,G,Scotland,Malt
BenRiach 12yo,8.4,0.3,18,$$$,SingleMalt-like,GH,G,Scotland,Malt
